item,Entscheider,Empfänger,Bestrafung,Kosten,punish,% dictator,Overall payoff,punish random,severity_punish,severity_punish_up,costs_up,unfair_up,up
0,432,312,354,118,351,0.58,744,3,0.819444444,0,0,0,0
0,449,415,415,138,415,0.52,864,0,0.924276169,0,0,0,0
0,480,480,292,97,287,0.5,960,5,0.608333333,0,1,0,0
1,343,305,268,89,268,0.53,648,0,0.781341108,0,1,0,0
2,324,324,315,105,317,0.5,648,-2,0.972222222,0,0,0,0
3,355,341,222,74,219,0.51,696,3,0.625352113,0,1,0,0
4,390,306,273,91,268,0.56,696,5,0.7,0,1,0,0
5,348,348,312,104,317,0.5,696,-5,0.896551724,0,0,0,0
6,372,372,216,72,219,0.5,744,-3,0.580645161,0,1,0,0
7,402,342,270,90,268,0.54,744,2,0.671641791,0,1,0,0
8,501,363,288,96,287,0.58,864,1,0.574850299,0,1,0,0
9,458,406,346,115,351,0.53,864,-5,0.755458515,0,0,0,0
10,432,432,417,139,415,0.5,864,2,0.965277778,0,0,0,0
11,502,410,292,97,287,0.55,912,5,0.581673307,0,1,0,0
12,483,429,349,116,351,0.53,912,-2,0.722567288,0,0,0,0
13,465,447,416,139,415,0.51,912,1,0.894623656,0,0,0,0
14,509,451,287,96,287,0.53,960,0,0.563850688,0,1,0,0
15,499,461,354,118,351,0.52,960,3,0.709418838,0,0,0,0
16,564,84,269,90,268,0.87,648,1,0.476950355,1,1,1,1
17,570,78,312,104,317,0.88,648,-5,0.547368421,0,0,1,0
18,647,49,219,73,219,0.93,696,0,0.338485317,1,1,1,1
19,515,181,266,89,268,0.74,696,-2,0.516504854,0,1,1,0
20,578,118,313,104,317,0.83,696,-4,0.541522491,0,0,1,0
21,670,74,221,74,219,0.9,744,2,0.329850746,1,1,1,1
22,662,82,272,91,268,0.89,744,4,0.410876133,1,1,1,1
23,683,181,284,95,287,0.79,864,-3,0.415812592,1,1,1,1
24,769,95,352,117,351,0.89,864,1,0.457737321,1,0,1,0
25,657,207,418,139,415,0.76,864,3,0.636225266,0,0,1,0
26,684,228,290,97,287,0.75,912,3,0.423976608,1,1,1,1
27,812,100,356,119,351,0.89,912,5,0.438423645,1,0,1,0
28,675,237,413,138,415,0.74,912,-2,0.611851852,0,0,1,0
29,883,77,291,97,287,0.92,960,4,0.329558324,1,1,1,1
30,787,173,353,118,351,0.82,960,2,0.448538755,1,0,1,0
